Country,Dish,Description,Recipe,Latitude,Longitude
Nicaragua,Gallo Pinto,"A Nicaraguan dish of rice and beans, often served with cheese and plantains","Ingredients: 2 cups cooked rice, 1 cup cooked black beans, 1 onion, 1 red bell pepper, 2 cloves garlic, 1 tbsp Lizano sauce, salt, pepper, oil
 Instructions: Sauté onions, garlic, and bell pepper in oil. Add rice and beans, cook until heated through. Stir in Lizano sauce, season with salt and pepper. Serve hot.
",12.865416,-85.207229
Niger,Fufu,"A Nigerian dish of pounded yam or cassava, served with a variety of soups and stews","Ingredients: 2 cups cassava flour, 4 cups water, salt
 Instructions: Boil water with a pinch of salt. Gradually add cassava flour, stirring constantly. Cook until mixture thickens and pulls away from the sides of the pot. Shape into balls and serve with soup or stew.
",17.607789,8.081666
Nigeria,Jollof Rice,A popular West African dish of rice cooked in a flavorful tomato and pepper sauce,"Ingredients: 2 cups rice, 1kg chicken, 2 onions, 4 tomatoes, 1 bell pepper, 4 cloves garlic, 1 cup tomato paste, 1 tsp thyme, 1 tsp curry powder, salt, pepper, oil
 Instructions: Brown chicken in oil, set aside. Sauté onions, garlic, tomatoes, and bell pepper until soft. Stir in tomato paste, thyme, curry powder, salt, and pepper. Add rice and chicken, cover with water, simmer until rice is cooked and chicken is tender. Serve hot.
",9.081999,8.675277
North Korea,Kimchi,"A Korean dish of fermented vegetables, typically cabbage, seasoned with chili pepper, garlic, and ginger","Ingredients: 1 napa cabbage, 1/4 cup salt, 4 cloves garlic, 1 tbsp ginger, 1 tbsp sugar, 2 tbsp fish sauce, 2 tbsp chili powder
 Instructions: Chop cabbage, sprinkle with salt, let sit for 2 hours. Rinse and drain. Mix garlic, ginger, sugar, fish sauce, and chili powder. Coat cabbage with mixture, pack into a jar, ferment at room temperature for 1-5 days. Serve chilled.
",40.339852,127.510093
North Macedonia (formerly Macedonia),Tavče Gravče,A North Macedonian dish of baked beans cooked with onions and peppers,"Ingredients: 2 cups white beans, 2 onions, 2 tomatoes, 2 cloves garlic, 1 tbsp paprika, 1 tsp cumin, salt, pepper, oil
 Instructions: Cook beans until tender, set aside. Sauté onions and garlic in oil, add tomatoes, paprika, cumin, salt, and pepper. Add beans, simmer until thickened. Serve hot.
",41.608635,21.745275
Norway,Kjøttkaker,"A Norwegian dish of meatballs made from ground meat, served with potatoes and gravy","Ingredients: 500g ground beef, 1 onion, 1 egg, 1/2 cup breadcrumbs, salt, pepper, butter for frying
 Instructions: Mix all ingredients thoroughly. Shape into small balls. Fry in butter until golden brown and cooked through. Serve with boiled potatoes and gravy.
",60.472024,8.468946
Oman,Shuwa,"A traditional Omani dish where marinated lamb is slow-cooked in an underground sand oven, resulting in tender, flavorful meat.","Ingredients: 1 whole lamb (about 10-12 kg), 10 cloves garlic, 2 tbsp ground cumin, 2 tbsp ground coriander, 1 tbsp ground cinnamon, 1 tbsp ground black pepper, 1 tbsp ground cloves, 1 cup vinegar, banana leaves
 Instructions: Score the lamb and rub it with garlic and vinegar. Mix all the spices and rub onto the lamb. Wrap the lamb in banana leaves and then in a sack. Place the lamb in an underground sand oven, cover with hot coals, and cook for 24-48 hours until tender.
",21.512583,55.923255
Pakistan,Biryani,"A fragrant and flavorful rice dish layered with spiced meat, often garnished with saffron and fried onions.","Ingredients: 500g basmati rice, 1kg chicken, 200g yogurt, 2 large onions, 2 tomatoes, 4 cloves garlic, 1 tbsp ginger paste, 1 tsp cumin, 1 tsp coriander, 1 tsp garam masala, 1 tsp turmeric, 1 tsp chili powder, 2 tbsp ghee or oil, saffron threads soaked in warm milk, salt
 Instructions: Cook rice until 70% done and set aside. Sauté onions in ghee, add garlic and ginger, then add chicken and brown. Add tomatoes, spices, and yogurt, cook until chicken is tender. In a pot, layer rice and chicken mixture, sprinkle with saffron milk. Cover and cook on low heat for 20 minutes.
",30.375321,69.345116
Palau,Tinola,"A comforting chicken soup with green papaya and chili leaves, known for its gingery broth.","Ingredients: 1kg chicken, 1 green papaya (sliced), 2 cups chili leaves, 1 large onion, 4 cloves garlic, 1 thumb-sized ginger, 4 cups chicken broth, 2 tbsp fish sauce, salt and pepper
 Instructions: Sauté garlic, onion, and ginger until fragrant. Add chicken and fish sauce, cook until chicken is done. Add chicken broth and green papaya, simmer until papaya is tender. Stir in chili leaves and season with salt and pepper.
",7.51498,134.58252
Palestine State,Musakhan,"A Palestinian dish featuring sumac-spiced chicken baked on flatbread, offering a tangy and savory flavor.","Ingredients: 1 whole chicken, 4 large onions, 1/4 cup sumac, 1/4 cup olive oil, 4 pieces of flatbread, 1 tsp allspice, salt and pepper
 Instructions: Sauté onions in olive oil until soft, add chicken pieces and brown. Sprinkle with sumac, allspice, salt, and pepper. Place the mixture on flatbreads and bake in the oven at 180°C for 20 minutes.
",31.952162,35.233154
Panama,Sancocho,"A hearty Panamanian stew made with chicken and root vegetables, seasoned with culantro and oregano.","Ingredients: 1 whole chicken, 2 yucca roots (peeled and chopped), 2 plantains (peeled and chopped), 2 ears of corn (cut into chunks), 1 large onion, 4 cloves garlic, 1 tbsp oregano, 1 bunch culantro, salt and pepper
 Instructions: Cook chicken with garlic and onion until browned. Add yucca, plantains, corn, and enough water to cover. Season with oregano, culantro, salt, and pepper. Simmer until vegetables are tender.
",8.537981,-80.782127
Papua New Guinea,Mumu,"A traditional Papua New Guinean dish where pork and vegetables are cooked in a pit lined with hot stones, often with coconut milk added.","Ingredients: 1kg pork, 4 sweet potatoes, 4 taro roots, 2 bunches of greens, 1 liter coconut milk, banana leaves
 Instructions: Layer pork, sweet potatoes, taro, and greens in a large pit lined with hot stones. Cover with banana leaves and cook for several hours until everything is tender. Add coconut milk before serving.
",-6.314993,147.325653
Paraguay,Sopa Paraguaya,"A dense, cheesy cornbread from Paraguay, often enjoyed as a savory side dish.","Ingredients: 500g cornmeal, 200g cheese (grated), 1 liter milk, 1 large onion (chopped), 4 eggs, 2 tbsp butter, salt
 Instructions: Sauté onions in butter until soft. Mix cornmeal, cheese, milk, and onions. Beat eggs and add to the mixture. Pour into a baking dish and bake at 180°C for 30-40 minutes until firm and golden.
",-23.442503,-58.443832
Peru,Ceviche,"A popular Peruvian dish where fresh fish is marinated in lime juice, mixed with onions, cilantro, and chili peppers.","Ingredients: 500g fresh fish (cubed), 1 cup lime juice, 1 red onion (thinly sliced), 1 bunch cilantro (chopped), 1-2 chili peppers (chopped), salt
 Instructions: Marinate fish in lime juice for 10-15 minutes until opaque. Mix with onions, cilantro, and chili peppers. Season with salt and serve immediately.
",-9.189967,-75.015152
Philippines,Adobo,"A Filipino dish of marinated pork or chicken, simmered in vinegar, soy sauce, and garlic, creating a rich and savory flavor.","Ingredients: 1kg pork or chicken, 1/2 cup vinegar, 1/4 cup soy sauce, 4 cloves garlic, 2 bay leaves, 1 tsp black peppercorns, 1 tbsp oil, salt
 Instructions: Marinate meat in vinegar, soy sauce, garlic, bay leaves, and peppercorns for at least 1 hour. Heat oil in a pot and brown the meat. Add marinade and simmer until meat is tender and sauce is reduced.
",12.879721,121.774017
Poland,Bigos,"A traditional Polish stew made with sauerkraut and a variety of meats, slow-cooked for a rich, hearty meal.","Ingredients: 1kg sauerkraut, 500g pork shoulder, 500g beef, 200g sausage, 1 large onion, 200g mushrooms, 2 bay leaves, 1 tsp allspice, salt and pepper
 Instructions: Cook meats with onions and mushrooms until browned. Add sauerkraut, bay leaves, allspice, salt, and pepper. Simmer for 2-3 hours until flavors meld.
",51.919438,19.145136
Portugal,Bacalhau à Brás,"A Portuguese dish made from shredded salt cod, potatoes, and eggs, garnished with olives.","Ingredients: 500g salt cod, 4 large potatoes, 2 onions, 6 eggs, 1/2 cup olives, 1/4 cup olive oil, salt
 Instructions: Desalt and cook cod, then shred. Sauté onions in olive oil, add shredded cod and thinly sliced potatoes. Beat eggs and add to the mixture. Cook until eggs are set. Garnish with olives.
",39.399872,-8.224454
Qatar,Machboos,"A Qatari spiced rice dish with meat, often lamb or chicken, cooked with tomatoes and a blend of spices.","Ingredients: 500g basmati rice, 1kg lamb or chicken, 2 large onions, 2 tomatoes, 1 tsp turmeric, 1 tsp cumin, 1 tsp cinnamon, 2 tbsp ghee or oil, salt, 4 cups water
 Instructions: Sauté onions in ghee, add meat and brown. Add tomatoes, spices, and water, cook until meat is done. Add rice and simmer until rice is cooked.
",25.354826,51.183884
Romania,Sarmale,"A Romanian dish of cabbage leaves stuffed with a mixture of ground pork and rice, simmered in tomato sauce.","Ingredients: 1 large cabbage, 500g ground pork, 1 cup cooked rice, 1 large onion, 1 bunch dill, 1 can tomato sauce, salt and pepper
 Instructions: Mix ground pork with cooked rice, chopped onion, and dill. Blanch cabbage leaves and wrap the pork mixture in them. Place in a pot, cover with tomato sauce, and simmer until cooked through.
",45.943161,24.96676
Russia,Borscht,"A Russian beet soup with cabbage and potatoes, served with a dollop of sour cream and fresh dill.","Ingredients: 4 large beets, 1/2 head cabbage, 4 potatoes, 2 carrots, 1 large onion, 4 cups beef broth, 1/2 cup sour cream, 1 bunch dill, salt and pepper
 Instructions: Cook beets, cabbage, potatoes, and carrots in beef broth until tender. Sauté onions and add to the soup. Serve with a dollop of sour cream and fresh dill.
",61.52401,105.318756
Rwanda,Brochettes,"A Rwandan dish of cassava leaves cooked with peanuts, onions, and garlic in palm oil, typically served with rice or plantains.","Ingredients: 500g cassava leaves, 200g ground peanuts, 1 large onion, 2 cloves garlic, 1/4 cup palm oil, salt
 Instructions: Cook cassava leaves with ground peanuts, chopped onions, and garlic in palm oil until tender. Season with salt and serve with rice or plantains.
",-1.940278,29.873888
Saint Kitts and Nevis,Stewed Saltfish,"A traditional dish from Saint Kitts and Nevis made with salted fish sautéed with onions, bell peppers, and tomatoes, often served with boiled dumplings or breadfruit.","Ingredients: 500g saltfish, 1 large onion, 1 bell pepper, 2 tomatoes, 2 cloves garlic, 1 tbsp tomato paste, 2 sprigs thyme, 1 tbsp vegetable oil, salt and pepper
 Instructions: Soak saltfish overnight and boil until tender. Flake fish and set aside. Sauté onions, garlic, and bell pepper in oil. Add tomatoes, tomato paste, and thyme, cook until soft. Add flaked fish, season with salt and pepper, and simmer for 10 minutes.
",17.357822,-62.782998
Saint Lucia,Green Fig and Saltfish,"A beloved dish in Saint Lucia featuring salted fish mixed with green bananas, onions, bell peppers, and tomatoes.","Ingredients: 500g saltfish, 6 green bananas, 1 large onion, 1 bell pepper, 2 tomatoes, 2 cloves garlic, 1 tbsp vegetable oil, salt and pepper
 Instructions: Soak saltfish overnight and boil until tender. Flake fish and set aside. Boil green bananas until tender, peel and slice. Sauté onions, garlic, and bell pepper in oil. Add tomatoes and cook until soft. Add flaked fish and sliced bananas, season with salt and pepper, and cook for 5 minutes.
",13.909444,-60.978893
Saint Vincent and the Grenadines,Roasted Breadfruit and Fried Jackfish,"A classic dish from Saint Vincent and the Grenadines, where breadfruit is roasted and served with fried jackfish.","Ingredients: 1 breadfruit, 500g jackfish, 1 large onion, 1 bell pepper, 2 cloves garlic, 1 lime, salt and pepper, vegetable oil
 Instructions: Roast breadfruit until tender, peel and slice. Season jackfish with lime juice, salt, and pepper. Sauté onions, garlic, and bell pepper in oil. Fry jackfish until golden brown. Serve with roasted breadfruit.
",13.252817,-61.287228
Samoa,Oka i'a,"A refreshing Samoan dish where fresh fish is marinated in coconut cream with onions, tomatoes, and chilies.","Ingredients: 500g fresh fish (cubed), 1 cup coconut cream, 1 large onion, 1 bunch spring onions, 2 tomatoes, 2 chilies, salt
 Instructions: Marinate fish in lime juice and salt for 10 minutes. Mix coconut cream, chopped onion, spring onions, tomatoes, and chilies. Add marinated fish and mix well. Serve chilled.
",-13.759029,-172.104629
San Marino,Torta Tre Monti,A famous dessert from San Marino consisting of layered wafers and chocolate-hazelnut filling.,"Ingredients: 500g wafers, 200g chocolate, 100g hazelnuts, 100g sugar, 100g butter
 Instructions: Melt chocolate and butter in a double boiler. Stir in sugar and chopped hazelnuts. Layer wafers with chocolate mixture. Chill until set, then slice.
",43.94236,12.457777
Sao Tome and Principe,Calulu,"A flavorful fish and vegetable stew from Sao Tome and Principe, typically cooked with palm oil and seasoned with garlic.","Ingredients: 500g fish, 2 onions, 2 tomatoes, 200g spinach, 1 eggplant, 2 cloves garlic, 1 tbsp palm oil, salt and pepper
 Instructions: Sauté onions and garlic in palm oil. Add fish and brown. Add tomatoes, spinach, eggplant, and water. Season with salt and pepper. Simmer until vegetables are tender.
",0.18636,6.613081
Saudi Arabia,Kabsa,"A traditional Saudi Arabian spiced rice dish with chicken or lamb, garnished with raisins and almonds.","Ingredients: 1kg chicken or lamb, 2 cups basmati rice, 2 large onions, 2 tomatoes, 1 cup yogurt, 2 tbsp baharat spice mix, 1 tsp turmeric, 1 tsp cumin, 1/2 tsp saffron, 1/4 cup raisins, 1/4 cup slivered almonds, 4 cloves garlic, salt
 Instructions: Cook rice with saffron and set aside. Sauté onions and garlic, add meat and brown. Add tomatoes, spices, yogurt, and water, simmer until meat is tender. Layer rice with meat mixture, top with raisins and almonds. Bake at 180°C for 20 minutes.
",23.885942,45.079162
Senegal,Thieboudienne,"A Senegalese fish and rice dish, often cooked with tomatoes, onions, carrots, and cabbage, flavored with parsley and garlic.","Ingredients: 1kg fish, 2 cups rice, 1 large onion, 2 tomatoes, 1 carrot, 1 cabbage, 1 bell pepper, 1 bunch parsley, 2 cloves garlic, 1 tbsp tomato paste, salt and pepper
 Instructions: Cook fish with garlic and set aside. Sauté onions, add tomatoes, tomato paste, and chopped vegetables, cook until tender. Add rice and water, simmer until rice is cooked. Mix in cooked fish and parsley.
",14.497401,-14.452362
Serbia,Ćevapi,"A popular Serbian dish of grilled minced meat sausages, often served with flatbread and onions.","Ingredients: 500g ground beef, 1 large onion, 2 cloves garlic, 1 tsp paprika, 1 tsp cumin, 1 tsp salt, 1/2 tsp black pepper, 1 tbsp vegetable oil
 Instructions: Mix ground beef with chopped onions, garlic, and spices. Form into small sausages. Grill or fry until cooked through. Serve with flatbread and onions.
",44.016521,21.005859
Seychelles,Grilled Fish,"A staple in Seychelles cuisine where whole fish is grilled and seasoned with garlic, lemon juice, and olive oil.","Ingredients: 1 whole fish, 2 cloves garlic, 1 lemon, 1 tbsp olive oil, salt and pepper
 Instructions: Clean and season fish with garlic, lemon juice, olive oil, salt, and pepper. Grill until cooked through and golden brown.
",-4.679574,55.491977
Sierra Leone,Groundnut Stew,"A hearty chicken stew from Sierra Leone cooked with onions, tomatoes, and peanut butter for a rich, savory flavor.","Ingredients: 1kg chicken, 2 large onions, 2 tomatoes, 4 cloves garlic, 1 cup peanut butter, 1 tbsp vegetable oil, salt and pepper
 Instructions: Sauté onions and garlic in oil. Add chicken and brown. Add tomatoes and water, simmer until chicken is tender. Stir in peanut butter, season with salt and pepper, and cook until sauce thickens.
",8.460555,-11.779889
Singapore,Hainanese Chicken Rice,"A famous Singaporean dish of poached chicken served with fragrant rice, accompanied by ginger, garlic, and chili sauces.","Ingredients: 1 whole chicken, 4 cups chicken broth, 2 cups jasmine rice, 1 large onion, 4 cloves garlic, 1 thumb-sized ginger, 1 bunch cilantro, 1 cucumber, salt and pepper
 Instructions: Boil chicken with garlic, ginger, and onion until cooked. Remove chicken and set aside. Cook rice in chicken broth. Serve chicken sliced with rice, garnished with cilantro and cucumber.
",1.352083,103.819836
Slovakia,Bryndzové Halušky,"A traditional Slovak dish of potato dumplings mixed with bryndza cheese, topped with crispy bacon and served with sour cream.","Ingredients: 500g potato dumplings, 200g bryndza cheese, 100g bacon, 1 large onion, 1 tbsp sour cream
 Instructions: Cook dumplings in salted water and drain. Mix with bryndza cheese. Sauté bacon and onions until crispy, sprinkle over dumplings. Serve with sour cream.
",48.669026,19.699024
Slovenia,Kranjska Klobasa,"A Slovenian sausage made from pork, seasoned with garlic and paprika, typically served with bread.","Ingredients: 500g pork sausage, 1 large onion, 2 cloves garlic, 1 tsp paprika, 1 tbsp vegetable oil
 Instructions: Sauté onions and garlic in oil. Add sausage and cook until browned. Sprinkle with paprika and serve with bread.
",46.151241,14.995463
Solomon Islands,Poi,A staple food in the Solomon Islands made from boiled and mashed taro root mixed with coconut milk.,"Ingredients: 500g taro root, 2 cups coconut milk, 1 large onion, 2 cloves garlic, salt
 Instructions: Boil taro root until tender, mash with coconut milk. Sauté onions and garlic, mix into taro. Season with salt.
",-9.64571,160.156194
Somalia,Canjeero,"A type of Somali flatbread made from flour, water, and salt, cooked on a hot griddle until golden brown.","Ingredients: 500g flour, 1 tsp salt, 1 tbsp vegetable oil, water
 Instructions: Mix flour, salt, and oil, add water to form a dough. Let rest for 30 minutes. Roll into thin circles and cook on a hot griddle until golden brown.
",5.152149,45.079162
South Africa,Bobotie,"A classic South African dish where spiced minced meat is baked with an egg-based topping, often served with yellow rice.","Ingredients: 500g ground beef, 1 large onion, 2 cloves garlic, 1 cup milk, 1 cup bread crumbs, 1 tbsp curry powder, 1 tbsp vegetable oil
 Instructions: Sauté onions and garlic in oil. Add ground beef and brown. Mix in bread crumbs soaked in milk, add curry powder. Bake at 180°C for 30 minutes.
",-30.559482,22.937506
South Korea,Kimchi,"A staple Korean side dish of fermented cabbage mixed with chili powder, garlic, ginger, and fish sauce.","Ingredients: 1 large cabbage, 1/2 cup salt, 2 tbsp gochugaru (Korean chili powder), 4 cloves garlic, 1 thumb-sized ginger, 2 tbsp fish sauce, 1 tbsp sugar
 Instructions: Slice cabbage and mix with salt, let sit for 1 hour. Rinse and drain. Mix gochugaru, minced garlic, ginger, fish sauce, and sugar. Combine with cabbage. Pack into jars and ferment for 3-5 days.
",35.907757,127.766922
South Sudan,Ful Medames,"A traditional dish in South Sudan made from mashed fava beans seasoned with garlic, lemon juice, and olive oil, served with bread.","Ingredients: 500g fava beans, 4 cloves garlic, 1 lemon, 1 tbsp olive oil, salt and pepper
 Instructions: Soak fava beans overnight and boil until tender. Mash beans with garlic, lemon juice, olive oil, salt, and pepper. Serve with bread.
",7.862684,30.154094
Spain,Paella,"A famous Spanish rice dish cooked with a variety of seafood, saffron, and vegetables, known for its vibrant colors and rich flavors.","Ingredients: 2 cups rice, 1kg seafood mix (shrimp, mussels, clams), 1 large onion, 2 tomatoes, 1 bell pepper, 2 cloves garlic, 1 tsp saffron, 4 cups chicken broth, 1/4 cup olive oil, salt
 Instructions: Sauté onions, garlic, and bell pepper in olive oil. Add tomatoes and saffron, cook until soft. Add rice and broth, simmer until rice is nearly cooked. Add seafood mix and cook until seafood is done. Season with salt.
",40.463667,-3.74922
Sri Lanka,Fish Ambul Thiyal,"A Sri Lankan sour fish curry cooked with tamarind paste and coconut milk, offering a tangy and creamy taste.","Ingredients: 1kg fish, 1 cup coconut milk, 2 tbsp tamarind paste, 1 large onion, 2 cloves garlic, 1 thumb-sized ginger, salt
 Instructions: Cut fish into pieces, season with salt. Sauté onions, garlic, and ginger. Add tamarind paste and coconut milk, simmer until thickened. Add fish and cook until done.
",7.873054,80.771797
Sudan,Kisra,"A Sudanese flatbread made from sorghum flour, typically served with stews and other savory dishes.","Ingredients: 500g sorghum flour, 1 liter water, 1 tsp salt
 Instructions: Boil water and add salt. Gradually stir in sorghum flour, cook until thickened. Serve with stew.
",12.862807,30.217636
Suriname,Pom,"A traditional dish from Suriname made with chicken, celery, and tomatoes, typically served with rice.","Ingredients: 500g chicken, 3 tbsp soy sauce, 2 tbsp lime juice, 1 large onion, 1 bell pepper, 2 tomatoes, 4 cloves garlic, 1 tbsp tomato paste, 1/2 cup chopped celery, 3 tbsp butter, salt and pepper
 Instructions: Marinate chicken in soy sauce and lime juice. Sauté onions, garlic, and bell pepper in butter. Add tomatoes, tomato paste, and celery, cook until soft. Add marinated chicken, season with salt and pepper, and simmer until chicken is tender. Serve with rice.
",3.919305,-56.027783
Sweden,Swedish Meatballs,"A Swedish dish of ground beef mixed with onions, garlic, and breadcrumbs, formed into meatballs and served with lingonberry sauce.","Ingredients: 500g ground beef, 1 large onion, 2 cloves garlic, 1 egg, 1/2 cup breadcrumbs, 1/2 cup milk, salt and pepper
 Instructions: Mix ground beef with chopped onion, minced garlic, egg, breadcrumbs, milk, salt, and pepper. Form into meatballs and fry in butter until cooked through. Serve with lingonberry sauce and mashed potatoes.
",60.128161,18.643501
Switzerland,Fondue,A Swiss dish where Gruyère and Emmental cheeses are melted with white wine and served with bread cubes for dipping.,"Ingredients: 200g Gruyère cheese, 200g Emmental cheese, 1 clove garlic, 1 cup white wine, 1 tbsp cornstarch, 1 tbsp kirsch, nutmeg, black pepper, baguette
 Instructions: Rub pot with garlic clove. Heat wine and bring to a simmer. Gradually add grated cheeses, stirring until melted. Dissolve cornstarch in kirsch, add to pot. Season with nutmeg and pepper. Serve with bread cubes.
",46.818188,8.227512
Syria,Kibbeh,"A Syrian dish of ground lamb mixed with bulgur wheat and pine nuts, formed into patties and fried until golden brown.","Ingredients: 500g ground lamb, 1 large onion, 1 cup bulgur wheat, 1 tbsp pine nuts, 1 tsp allspice, 1 tsp cinnamon, salt and pepper
 Instructions: Mix ground lamb with chopped onion, bulgur wheat, pine nuts, allspice, cinnamon, salt, and pepper. Form into oval patties and fry until golden brown. Serve with yogurt sauce.
",34.802075,38.996815
Tajikistan,Qurutob,"A traditional Tajik dish of yogurt mixed with onions, tomatoes, cucumbers, and soaked pita bread.","Ingredients: 200g yogurt, 1 large onion, 2 tomatoes, 2 cucumbers, 1 bunch cilantro, 2 pita breads, 1 tbsp vegetable oil, salt
 Instructions: Tear pita bread into pieces and soak in water. Mix yogurt with chopped onion, tomatoes, cucumbers, and cilantro. Squeeze water from pita bread and add to yogurt mixture. Drizzle with vegetable oil and sprinkle with salt.
",38.861034,71.276093
Tanzania,Ugali,"A staple in Tanzanian cuisine made from maize flour, cooked into a thick porridge and served with meat or vegetable stew.","Ingredients: 2 cups maize flour, 4 cups water, salt
 Instructions: Boil water and add a pinch of salt. Gradually add maize flour, stirring continuously until thickened. Serve with meat or vegetable stew.
",-6.369028,34.888822
Thailand,Pad Thai,"A famous Thai dish of rice noodles stir-fried with shrimp, eggs, bean sprouts, and chives, flavored with fish sauce and tamarind paste.","Ingredients: 200g rice noodles, 200g shrimp, 2 eggs, 1 cup bean sprouts, 1 bunch chives, 2 cloves garlic, 1 tbsp fish sauce, 1 tbsp tamarind paste, 1 tbsp sugar, 1 lime, crushed peanuts
 Instructions: Soak rice noodles in water. Sauté garlic in oil, add shrimp and cook until pink. Push shrimp to one side, scramble eggs in the same pan. Add noodles, fish sauce, tamarind paste, and sugar. Stir in bean sprouts and chives. Serve with lime wedges and crushed peanuts.
",15.870032,100.992541
Timor-Leste,Ikan Sabuko,A popular dish from Timor-Leste where fish is marinated in tamarind paste and cooked with coconut milk.,"Ingredients: 500g fish, 2 cloves garlic, 1 thumb-sized ginger, 1 cup coconut milk, 2 tbsp tamarind paste, 1 large onion, salt
 Instructions: Marinate fish in tamarind paste and salt. Sauté onions, garlic, and ginger. Add marinated fish and cook until browned. Pour in coconut milk, simmer until sauce thickens. Serve with rice.
",-8.874217,125.727539
Togo,Fufu,"A staple dish in Togo made from cassava flour, cooked into a thick dough and served with soup or stew.","Ingredients: 500g cassava flour, 4 cups water, salt
 Instructions: Boil water and add a pinch of salt. Gradually add cassava flour, stirring continuously until thickened. Serve with soup or stew.
",8.619543,0.824782
Tonga,Lū Sipi,"A Tongan dish of lamb cooked in coconut milk and soy sauce, often served with taro or yam.","Ingredients: 500g lamb, 1 large onion, 2 cloves garlic, 1 cup coconut milk, 2 tbsp soy sauce, salt
 Instructions: Marinate lamb in soy sauce. Sauté onions and garlic, add lamb and brown. Pour in coconut milk, simmer until lamb is tender. Serve with taro or yam.
",-21.178986,-175.198242
Trinidad and Tobago,Pelau,"A traditional dish from Trinidad and Tobago made with chicken, rice, and coconut milk, flavored with curry powder.","Ingredients: 500g chicken, 2 cups rice, 1 large onion, 2 cloves garlic, 1 cup coconut milk, 1 tsp curry powder, salt and pepper
 Instructions: Sauté onions and garlic, add chicken and brown. Add rice, coconut milk, curry powder, and water. Season with salt and pepper. Cook until rice is done and chicken is tender. Serve hot.
",10.691803,-61.222503
Tunisia,Couscous,"A classic Tunisian dish of steamed couscous served with lamb, vegetables, and chickpeas, seasoned with harissa and spices.","Ingredients: 500g couscous, 500g lamb, 1 large onion, 2 carrots, 2 zucchinis, 1 can chickpeas, 1 tbsp tomato paste, 1 tsp harissa, 1 tsp cumin, 1 tsp paprika, 1/2 tsp turmeric, salt, olive oil
 Instructions: Steam couscous and set aside. Sauté onions, add lamb and brown. Add spices, tomato paste, and water, simmer until lamb is tender. Add carrots, zucchinis, and chickpeas, cook until vegetables are tender. Serve meat and vegetables over couscous.
",33.886917,9.537499
Turkey,Kebabs,"A popular Turkish dish where lamb or chicken is marinated in yogurt and spices, then grilled or skewered.","Ingredients: 1kg lamb or chicken, 2 cups yogurt, 4 cloves garlic, 1 large onion, 1 tbsp cumin, 1 tbsp paprika, salt and pepper
 Instructions: Marinate meat in yogurt, garlic, cumin, and paprika. Grill or skewer meat until cooked through. Serve with flatbread and vegetables.
",38.963745,35.243322
Turkmenistan,Plov,"A traditional dish from Turkmenistan made with rice, lamb, carrots, and spices, cooked until tender.","Ingredients: 500g rice, 500g lamb, 2 large carrots, 1 large onion, 1 tsp cumin, 1 tsp coriander, 1/2 tsp turmeric, salt and pepper
 Instructions: Sauté onions, add lamb and brown. Add spices, water, and simmer until lamb is tender. Add julienned carrots, cook until soft. Stir in rice, add water, cook until rice is done. Serve hot.
",38.969719,59.556278
Tuvalu,Pulaka,A staple food in Tuvalu made from boiled and mashed pulaka mixed with coconut cream.,"Ingredients: 500g pulaka (swamp taro), 1 cup coconut cream, salt
 Instructions: Peel and slice pulaka, boil until tender. Mash with coconut cream and salt. Serve as a side dish.
",-7.109535,179.194555
Uganda,Matoke,"A popular Ugandan dish made with boiled and mashed green bananas, often served with a tomato and onion sauce.","Ingredients: 500g green bananas, 1 large onion, 2 tomatoes, 2 cloves garlic, 1 tsp curry powder, salt
 Instructions: Peel and slice bananas, boil until tender. Sauté onions, garlic, and tomatoes. Add boiled bananas, curry powder, and salt. Cook for 5 minutes. Serve hot.
",1.373333,32.290275
Ukraine,Borscht,"A traditional Ukrainian beet soup made with potatoes, cabbage, and beef broth, served with sour cream.","Ingredients: 500g beets, 2 large potatoes, 1 large onion, 1 carrot, 1/2 cabbage, 4 cups beef broth, 2 cloves garlic, 1 tbsp vinegar, salt and pepper
 Instructions: Sauté onions, garlic, and carrots. Add chopped beets, potatoes, and cabbage. Pour in beef broth, simmer until vegetables are tender. Add vinegar, salt, and pepper. Serve with sour cream.
",48.379433,31.16558
United Arab Emirates,Machboos,"A traditional dish from the UAE made with lamb, rice, and spices, often served with a side of yogurt.","Ingredients: 500g lamb, 2 cups basmati rice, 1 large onion, 2 cloves garlic, 1 tsp baharat spice mix, 1/2 tsp turmeric, salt
 Instructions: Sauté onions and garlic, add lamb and brown. Add spices and water, simmer until lamb is tender. Stir in rice, cook until rice is done. Serve hot.
",23.424076,53.847818
United Kingdom,Fish and Chips,A classic British dish of battered and fried cod served with fries and tartar sauce.,"Ingredients: 500g cod, 4 large potatoes, 1 cup flour, 1 cup beer, salt and pepper
 Instructions: Cut cod into pieces, season with salt and pepper. Dip in batter made from flour and beer. Fry until golden brown. Serve with fries and tartar sauce.
",55.378051,-3.435973
United States,Burger,"An American favorite consisting of a grilled beef patty served on a bun with cheese, lettuce, tomato, and condiments.","Ingredients: 500g ground beef, 4 burger buns, 4 slices cheese, lettuce, tomato, onion, ketchup, mustard
 Instructions: Form ground beef into patties, season with salt and pepper. Grill or fry until cooked to preference. Assemble burgers with buns, cheese, lettuce, tomato, onion, ketchup, and mustard. Serve hot.
",37.09024,-95.712891
